date,Combined Equal-Weight,Combined Min-Variance,Combined Max-Sharpe,Combined Risk-Parity,Equity Equal-Weight,Equity Min-Variance,Equity Max-Sharpe,Equity Risk-Parity,Crypto Equal-Weight,Crypto Min-Variance,Crypto Max-Sharpe,Crypto Risk-Parity,Equity+Sentiment Tilt
2020-10-01,,,,,,,,,-0.015215988184475627,-0.01570747510686523,-0.024692509846236416,-0.015136407965557834,
2020-10-02,,,,,,,,,-0.021891144641811848,-0.011050552667218506,-0.03398803948700437,-0.020996813336064193,
2020-10-03,,,,,,,,,0.004360856473343322,-0.0025044685304121484,0.0028915045432137557,0.0041456844091047485,
2020-10-04,,,,,,,,,0.01790188760050092,0.03152851091164592,0.023936140783077337,0.018425424476581492,
2020-10-05,,,,,,,,,0.003591528393123089,0.011389428763030356,0.007847358944098427,0.0038823870596706375,
2020-10-06,,,,,,,,,-0.009626353837821833,-0.018860336708208338,-0.04241842790153891,-0.009621049672352989,
2020-10-07,,,,,,,,,0.0024881630094607645,0.007726511068376515,0.006514591727014176,0.0025862874991299393,
2020-10-08,,,,,,,,,0.015037245037404369,0.017542299837533925,0.025682044054498195,0.01481692642677066,
2020-10-09,,,,,,,,,0.023432526373623766,0.01300296048258136,0.05049703743956858,0.022477093364971248,
2020-10-10,,,,,,,,,0.01344768307528349,0.014912095148423734,0.021982999147394187,0.01346668533925914,
2020-10-11,,,,,,,,,0.01185566818473901,0.0060253087623040776,0.012713403749008777,0.011520768829984644,
2020-10-12,,,,,,,,,0.011390327435422478,0.009752443488009691,0.03321392179558884,0.011007269842354407,
2020-10-13,,,,,,,,,-0.004764471088864998,-0.0077539514809495036,-0.014030931358798801,-0.005163706860344264,
2020-10-14,,,,,,,,,-0.005807592202763257,-0.012316680948761061,-0.009020282361493446,-0.006249112608876258,
2020-10-15,,,,,,,,,-0.0048135694737722725,-0.0026921967894645692,-0.005746668191036985,-0.004771507929444664,
2020-10-16,,,,,,,,,-0.018634310332511863,-0.010783429322626844,-0.027114904426839927,-0.01772068789917627,
2020-10-17,,,,,,,,,0.004269494322044054,0.00618769513312115,0.012930454470218797,0.004422718436252099,
2020-10-18,,,,,,,,,0.007325791861006193,0.005183845018340155,0.019223987938466164,0.0068793560376537105,
