date,Comm,Consumer,Energy,Financials,Healthcare,Industrials,Materials,RealEstate,Tech,Utilities
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,0.11544833333333333,-0.06817095238095237,0.011983333333333328,0.06496666666666667,0.1363554761904762,0.11497299999999999,0.013411111111111111,0.02035,0.10158134615384616,0.3612
2020-01-06,0.06274700000000001,-0.15987089285714284,-0.0664075212121212,0.09298444444444447,0.08621333333333334,-0.09117099999999999,0.044540000000000024,0.1058,0.0893541456043956,0.08034000000000002
2020-01-07,0.07906970760233918,-0.06471505576441103,-0.04030499920255183,0.041322856140350875,0.15649292731829573,-0.015892368421052624,-0.09577258771929824,0.04577333333333334,0.049768587622903405,-0.03515960526315791
2020-01-08,0.1257967125506073,-0.0032816313861577114,-0.02311807614607614,0.07876187078272605,0.1268213504530557,0.014412247252747262,0.06397869905533064,0.02032157894736842,0.10737261348267116,0.07223999999999998
2020-01-09,0.09598528634290794,0.03959493759005606,-0.07342910106165554,0.18286057690282334,0.11306697176651677,-0.0635892857736759,-0.15770995351804595,-0.04666350202429149,0.11918306754856517,0.1710277192982456
2020-01-10,0.033951888745560585,0.058988605852817545,-0.04276138305263374,0.14059835344284882,0.07400430473619947,-0.004675551285431954,-0.12205598808237023,0.05097345971563981,0.10323143202456952,0.10912566801619433
2020-01-13,-0.01753139387003965,0.08338403673653709,-0.10738897284047214,0.13397117746134304,0.08956254405696333,0.015185394508612475,-0.12916985149530907,0.009022070561017935,0.14189092997711245,0.07297727301072587
2020-01-14,-0.009773756373057446,0.06343352889528556,-0.047441728053237896,0.1364697987195755,0.08168900704211231,0.006627829658260972,0.05697942657661549,0.049171636716852846,0.15060392520309412,0.03622546806772675
2020-01-15,0.03391843704901501,0.045442352527917944,-0.014765641008074292,0.10244202724033749,0.061340166324899484,0.09062252627165229,-0.07313864560029751,0.03211559080095163,0.16854361332956458,0.08027141142073252
